IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,ArmasGrupoArmado,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,Capturas,GrupoPertenecenLosCapturados,EscudoHumano,LesionadosCombatientes,TotalMilitares,TotalPolicias,TotalOtrasFuerzasArmadasEstatales,TotalAgentesEstadoSinInformacion,TotalCombatientesFuerzasArmadasDelEstado,TotalCombatientesDeLasGuerrillas,TotalCombatientesDeLosParamilitares,TotalMuertosGrupoPosdesmovilizacion,TotalCombatientesSinInformacion,TotalCombatientesOtrosGruposArmadosOrganizados,TotalCombatientesGruposArmadosOrganizados,TotalCombatientesMuertos,TotalPersonasSinInformacion,TotalCivilesMuertos,TotalCivilesCombatientesMuertos,NumeroVictimasCaso,VentajaMilitar,Estado
1780,Cr003013,21,1,1983,Uraba,Antioquia,San pedro de urabá,Guerrilla,Epl,Arma de fuego - artefacto explosivo,0,0,0,1,0,0,3,1,0,,,0,,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,2,Grupos armados organizados,Publicado
2047,Cr003023,28,6,1985,Eje cafetero,Quindio,Génova,Guerrilla,M-19,Arma de fuego - artefacto explosivo,0,0,0,0,0,0,1,0,0,,,0,,0,0,2,8,0,0,10,5,0,0,0,0,5,15,0,2,17,19,Grupos armados organizados,Publicado
2693,Cr003030,3,2,1987,Sur del huila,Huila,Isnos,Guerrilla,Quintín lame,Arma de fuego,0,0,0,0,0,0,0,0,0,,,0,,0,0,1,0,0,0,1,6,0,0,0,0,6,7,0,0,7,7,Fuerzas armadas estatales,Publicado
3350,Cr000038,27,5,1988,Provincia de garcia rovira,Santander,Carcasí,Guerrilla,Eln,Nd,0,0,0,0,0,0,0,0,0,,,0,,0,3,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,2,Grupos armados organizados,Publicado
5860,Cr20175860,3,3,1992,Sur de cesar,Cesar,González,Grupo armado no dirimido,,Nd,0,0,0,0,0,0,0,0,0,,,0,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grupos armados organizados,Publicado
6852,Cr003094,14,12,1992,Catatumbo,Norte de santander,Teorama,Guerrilla,Farc,Arma de fuego - artefacto explosivo,0,0,0,0,0,0,2,0,0,,,0,,0,3,1,2,0,0,3,0,0,0,0,0,0,3,0,0,3,3,Grupos armados organizados,Publicado
8127,Cr003102,20,3,1994,Norte de antioquia,Antioquia,Angostura,Guerrilla,Farc,Artefacto explosivo,0,0,0,0,0,0,0,0,0,,,0,,0,6,0,1,0,0,1,4,0,0,0,0,4,5,0,0,5,5,Fuerzas armadas estatales,Publicado
10902,Cr020590,28,1,1997,Atrato,Chocó,Bagadó,Guerrilla,Eln,,0,1,0,0,0,0,2,1,0,,,0,,0,3,0,6,0,0,6,0,0,0,0,0,0,6,0,0,6,6,Grupos armados organizados,Publicado
11932,Cr201711932,11,12,1997,Provincia de guanenta,Santander,Mogotes,Guerrilla,Eln,Arma de fuego - artefacto explosivo,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,6,6,Grupos armados organizados,Publicado
13041,Cr009075,16,3,1999,Altiplano cundiboyacense,Boyacá,Tasco,Guerrilla,Farc,Nd,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grupos armados organizados,Publicado
13199,Cr007155,21,5,1999,Catatumbo,Norte de santander,Sardinata,Guerrilla,Eln,Arma de fuego - artefacto explosivo,0,0,0,0,0,0,6,0,0,,,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Grupos armados organizados,Publicado
13865,Cr000186,25,12,1999,Norte del tolima,Tolima,Santa isabel,Guerrilla,Eln,Nd,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Grupos armados organizados,Publicado
13973,Cr008032,31,1,2000,Norte del cauca,Cauca,Suárez,Guerrilla,Farc,Arma de fuego - artefacto explosivo,0,0,0,0,0,0,2,1,0,,,0,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Grupos armados organizados,Publicado
16540,Cr000245,28,9,2001,Macizo colombiano,Cauca,Almaguer,Guerrilla,Farc,Arma de fuego,0,0,0,0,0,0,2,0,0,,,0,,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,Grupos armados organizados,Publicado
16549,Cr048228,29,9,2001,Florencia y area de influencia,Caquetá,La montañita,Guerrilla,Farc,Arma de fuego - artefacto explosivo,0,1,0,0,1,0,0,0,0,,,0,,0,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,Grupos armados organizados,Publicado
24926,Cr048280,4,8,2006,Norte del tolima,Tolima,Casabianca,Guerrilla,Farc,Arma de fuego,0,0,0,0,0,0,,1,,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grupos armados organizados,Publicado
34578,Cr017016,24,6,0,Sin informacion,Sin informacion,Sin informacion,Guerrilla,M-19,Arma de fuego,0,0,0,0,0,0,0,1,0,,,0,,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Grupos armados organizados,Publicado
34579,Cr014112,23,10,0,Bajo putumayo,Putumayo,San miguel,Guerrilla,Farc,Nd,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,2,6,12,Grupos armados organizados,Publicado
34580,Cr007228,0,3,1958,Norte del cauca,Cauca,Toribío,Bandolerismo,No identificado,Arma de fuego,0,0,0,0,0,0,3,0,0,,,0,,0,0,0,13,0,0,13,0,0,0,0,2,2,15,0,9,24,24,Grupos armados organizados,Publicado
34581,Cr037234,0,0,1961,Altillanura,Meta,Puerto lópez,Bandolerismo,No identificado,Arma de fuego,0,0,0,0,0,0,0,0,0,,Policía nacional,0,,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,Grupos armados organizados,Publicado
