IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,Pillaje,LesionadosCiviles,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,TotalCombatientesMuertos,TotalCivilesMuertos,TotalCivilesCombatientesMuertos,NumeroVictimasCaso,Estado
20575,Cr021260,24,4,2003,Oriente antioqueño,Antioquia,Peñol,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,4,4,4,Publicado
20713,Cr021281,8,5,2003,Sur del valle,Valle del cauca,Cali,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,3,3,3,Publicado
30323,,4,6,2012,Anden pacifico sur,Nariño,El charco,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,Presencia gao sin atribución,0,0,0,0,0,0,0,25,0,,,0,0,0,0,Publicado
33511,,7,12,2013,Norte del cauca,Cauca,Inzá,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,70,0,,,6,2,8,8,Publicado
97544,,9,3,2000,Alto sinu y san jorge,Córdoba,Montería,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,6,0,,,,1,1,1,Publicado
185266,Cr004878,1,1,1977,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,M-19,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185267,,13,8,1978,Florencia y area de influencia,Caquetá,Florencia,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,M-19,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185268,Cr012154,1,8,1982,Sur del valle,Valle del cauca,Cali,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,M-19,0,0,0,0,0,0,0,6,0,,,0,0,0,0,Publicado
185269,,1,6,1991,Eje cafetero,Caldas,Manizales,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,,0,1,0,0,0,0,0,0,0,,,0,4,4,4,Publicado
185271,Cr005155,27,11,1989,Area metropolitana de bogota,Cundinamarca,Soacha,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,0,107,107,107,Publicado
185272,Cr005159,12,12,1998,Provincia de soto,Santander,Bucaramanga,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Disidencia epl,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185273,Cr018882,3,2,1976,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Epl,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185274,Cr005127,12,2,1978,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Epl,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185275,Cr000012,17,2,1978,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Epl,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185276,Cr005128,29,5,1978,Provincia de soto,Santander,Bucaramanga,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,2 capturados,0,0,0,0,Publicado
185277,Cr018904,18,6,1978,Macizo colombiano,Cauca,Popayán,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Otro,,0,0,0,0,0,0,0,1,0,,5-capturados,1,0,1,1,Publicado
185278,Cr005130,16,8,1978,Alto sinu y san jorge,Córdoba,Planeta rica,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,50,0,,,0,1,1,1,Publicado
185279,,1,5,1979,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Eln,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185280,,1,6,1979,Sur del valle,Valle del cauca,Cali,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Epl,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185281,Cr005142,31,7,1981,Norte del valle,Valle del cauca,Ansermanuevo,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,14,0,,,0,4,4,4,Publicado
185282,,7,10,1981,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Eln,0,0,0,0,0,0,0,1,0,,,0,1,1,1,Publicado
185283,,22,4,1984,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,9,0,,,0,0,0,0,Publicado
185284,Cr005138,1,5,1985,Eje cafetero,Risaralda,Dosquebradas,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Otra disidencia,0,0,0,0,0,0,0,10,0,,,0,4,4,4,Publicado
185285,,23,5,1985,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Eln,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
185286,Cr004962,25,9,1985,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,8,0,,,0,0,0,0,Publicado
185287,Cr005117,13,1,1987,Norte de atlantico,Atlántico,Barranquilla,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Coordinadora nacional guerrillera,0,0,0,0,0,0,1,25,0,,,2,11,13,13,Publicado
185288,Cr005147,23,9,1987,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,8,0,,,0,1,1,1,Publicado
185289,,16,10,1989,Provincia de soto,Santander,Bucaramanga,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,No identificada,0,0,0,0,0,0,0,0,0,,,0,3,3,3,Publicado
185290,Cr005171,6,12,1989,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Otro,,0,0,0,0,0,0,0,600,0,,,0,63,63,63,Publicado
185291,,28,6,1990,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,1,0,,,0,14,14,14,Publicado
185292,Cr005163,27,3,1992,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Eln,0,0,0,0,0,0,0,0,0,,,0,1,1,1,Publicado
185293,Cr020249,1,4,1992,Sur del valle,Valle del cauca,Cali,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,6,0,,,3,0,3,3,Publicado
185294,Cr048156,1,9,1992,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,8,0,,,0,9,9,9,Publicado
185295,Cr005158,11,12,1992,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Eln,0,0,0,0,0,0,0,9,0,,,0,0,0,0,Publicado
185296,,10,2,1993,Magdalena medio,Santander,Barrancabermeja,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,No identificada,0,0,0,0,0,0,0,0,0,,,0,16,16,16,Publicado
185297,,10,6,1995,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,99,0,,,0,23,23,23,Publicado
185299,Cr018229,9,7,1995,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,4,0,,,0,0,0,0,Publicado
185300,Cr005095,17,10,1995,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,12,0,,,0,2,2,2,Publicado
185301,Cr005112,4,10,1996,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Eln,0,0,0,0,0,0,0,4,0,,,0,1,1,1,Publicado
185302,Cr023021,21,10,1996,Alto sinu y san jorge,Córdoba,Montería,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,11,0,,7-policías heridos,0,0,0,0,Publicado
185303,Cr005116,16,12,1996,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,48,0,,,0,1,1,1,Publicado
185304,Cr005103,17,12,1996,Alto sinu y san jorge,Córdoba,Montería,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,36,0,,,0,4,4,4,Publicado
185305,Cr023019,10,3,1997,Alto sinu y san jorge,Córdoba,Montería,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,No identificada,0,0,0,0,0,0,0,22,0,,,0,0,0,0,Publicado
