IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
4986,,23,1,1991,Medio putumayo,Putumayo,Mocoa,Falso positivo,Arma de fuego,Agente del estado,Ejército nacional - policía nacional,0,0,0,0,0,0,0,0,0,,,7,Publicado
11364,,3,7,1997,Sierra nevada de santa marta,Magdalena,Ciénaga,Retén,Arma corto punzante - objeto contundente,Guerrilla,Eln,0,0,0,0,0,0,0,0,2,,,4,Publicado
12727,Cr201712727,26,10,1998,Bajo putumayo,Putumayo,San miguel,Falso positivo,Arma de fuego,Agente del estado,Ejército nacional,0,0,0,0,0,0,0,0,0,,,6,Publicado
18840,Cr049009,23,9,2002,Alta guajira,La guajira,Maicao,Falso positivo,Arma de fuego,Agente del estado - grupo paramilitar,,0,0,0,0,0,0,1,0,0,,,4,Publicado
48084,,8,6,2003,Valle de aburra,Antioquia,Medellín,Sicariato,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,4,Publicado
50556,,26,3,1994,Valle de aburra,Antioquia,Medellín,Retención/ejecución,Arma de fuego,Grupo paramilitar,No identificado,0,1,0,0,0,0,3,0,0,,,4,Publicado
51724,Cr021638,5,2,1999,Oriente antioqueño,Antioquia,Abejorral,Retención/ejecución,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,1,0,,,4,Publicado
52040,,13,5,2000,Suroeste antioqueño,Antioquia,Amagá,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,3,0,0,,,6,Publicado
53273,,27,5,1996,Uraba,Antioquia,Apartadó,Ruta,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,4,Publicado
55333,,16,5,2003,Oriente antioqueño,Antioquia,Argelia,Falso positivo,Arma de fuego,Agente del estado - grupo paramilitar,,0,1,0,0,0,0,1,0,0,,,4,Publicado
55965,,28,7,1993,Valle de aburra,Antioquia,Bello,Desconocida,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,4,Publicado
56759,,13,6,1993,Valle de aburra,Antioquia,Bello,Ataque indiscriminado,Arma de fuego,Grupo armado no identificado,No aplica,0,0,0,0,0,0,7,0,0,,,4,Publicado
57190,,26,9,1986,Suroeste antioqueño,Antioquia,Ciudad bolívar,Retención/ejecución,Arma corto punzante - arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,1,0,0,1,,,7,Publicado
58548,Cr201758548,22,10,1993,Uraba,Antioquia,Carepa,Retención/ejecución,Nd,Guerrilla,Disidencia epl,0,0,0,0,0,0,0,0,6,,,5,Publicado
60353,,4,7,1996,Uraba,Antioquia,Chigorodó,Asalto,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,6,Publicado
60935,,19,2,1994,Oriente antioqueño,Antioquia,Cocorná,Asalto,Arma de fuego,Grupo paramilitar,Autodefensas campesinas del magdalena medio,0,1,0,0,0,0,0,0,0,,,4,Publicado
61426,,20,6,1997,Occidente antioqueño,Antioquia,Dabeiba,Retención/ejecución,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,1,,,6,Publicado
61750,Cr011097,2,8,1997,Occidente antioqueño,Antioquia,Dabeiba,Asalto,Nd,Grupo paramilitar,No identificado,1,1,0,0,0,0,0,0,4,,,4,Publicado
62849,,14,9,2003,Norte de antioquia,Antioquia,Gómez plata,Asalto,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,7,Publicado
66184,,23,7,1997,Uraba,Antioquia,Mutatá,Ruta,Nd,Grupo paramilitar,No identificado,1,1,0,0,1,0,0,1,0,,,7,Publicado
70159,Cr023027,26,4,1994,Oriente antioqueño,Antioquia,San luis,Retén,Arma de fuego,Guerrilla,No identificada,0,0,0,0,0,0,0,0,0,,,4,Publicado
70307,,30,10,1993,Oriente antioqueño,Antioquia,San luis,Ruta,Nd,Grupo paramilitar,Autodefensas campesinas del magdalena medio,0,0,0,0,0,0,0,0,0,,,4,Publicado
70575,,28,5,1993,Uraba,Antioquia,San pedro de urabá,Asalto,Arma corto punzante - arma de fuego,Grupo paramilitar,No identificado,1,0,0,0,1,0,0,0,0,,,4,Publicado
71135,,13,7,1996,Nordeste antioqueño,Antioquia,San roque,Ruta,Nd,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,2,,,6,Publicado
71489,,5,3,1997,Norte de antioquia,Antioquia,Santa rosa de osos,Retención/ejecución,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,4,,,4,Publicado
71695,,17,11,2001,Nordeste antioqueño,Antioquia,Santo domingo,Retención/ejecución,Arma corto punzante - uso de químicos y tóxicos,Grupo paramilitar,No identificado,0,1,0,0,1,0,0,0,0,,,4,Publicado
73440,,31,5,1997,Bajo cauca antioqueño,Antioquia,Tarazá,Sicariato,Arma de fuego,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,5,Publicado
74215,,22,11,1993,Uraba,Antioquia,Turbo,Asalto,Arma de fuego,Guerrilla,Farc,1,0,0,0,1,0,0,1,0,,,4,Publicado
75117,,22,4,1996,Uraba,Antioquia,Turbo,Retención/ejecución,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,6,Publicado
75119,,17,5,1996,Uraba,Antioquia,Turbo,Asalto,Nd,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,1,0,,,4,Publicado
