year,actor,cnmh_massacres,cnmh_terroristacts,cnmh_attacks,gtd_terroristacts
1965,FARC,4,NA,1,NA
1966,FARC,1,NA,NA,NA
1968,FARC,1,NA,NA,NA
1969,FARC,2,NA,NA,NA
1975,FARC,1,NA,2,2
1976,FARC,2,NA,NA,3
1977,FARC,2,NA,3,28
1978,FARC,10,NA,2,27
1979,FARC,6,NA,2,46
1980,FARC,2,NA,NA,38
1981,FARC,14,NA,NA,53
1982,FARC,5,NA,2,64
1982,Medellín Cartel,5,NA,NA,5
1983,FARC,4,NA,9,87
1983,Medellín Cartel,8,NA,NA,11
1984,FARC,8,1,NA,54
1984,Medellín Cartel,4,NA,NA,2
1985,FARC,9,NA,NA,36
1985,Medellín Cartel,4,NA,NA,NA
1985,Paramilitaries,1,NA,NA,NA
1986,FARC,13,NA,NA,32
1986,Medellín Cartel,2,NA,NA,NA
1986,Paramilitaries,2,NA,NA,NA
1987,FARC,11,NA,2,63
1987,Medellín Cartel,2,NA,NA,NA
1988,FARC,13,NA,10,57
1988,Medellín Cartel,2,NA,NA,2
1988,Paramilitaries,6,NA,NA,NA
1989,FARC,13,NA,NA,24
1989,Medellín Cartel,1,NA,NA,229
1989,Paramilitaries,3,NA,NA,NA
1990,FARC,12,NA,3,30
1990,Paramilitaries,4,NA,NA,NA
1991,FARC,13,NA,13,143
1991,Paramilitaries,4,NA,NA,NA
1992,FARC,4,1,8,54
1992,Paramilitaries,2,NA,NA,NA
1993,FARC,15,NA,2,NA
1993,Paramilitaries,4,NA,NA,NA
1994,FARC,5,NA,14,36
1994,Paramilitaries,8,NA,NA,NA
1995,FARC,13,2,12,47
1995,Paramilitaries,16,NA,NA,4
1996,FARC,22,2,13,69
1996,Paramilitaries,49,NA,1,14
1997,FARC,16,3,27,148
1997,Paramilitaries,73,NA,NA,39
1998,FARC,14,1,43,43
1998,Paramilitaries,71,1,NA,1
1999,FARC,35,2,42,49
1999,Paramilitaries,118,NA,NA,6
2000,FARC,38,6,32,66
2000,Paramilitaries,190,NA,NA,18
2001,FARC,41,2,23,48
2001,Paramilitaries,186,NA,1,44
2002,FARC,39,22,22,111
2002,Paramilitaries,135,NA,NA,3
2003,FARC,22,19,2,61
2003,Paramilitaries,71,1,NA,NA
2004,FARC,20,2,1,26
2004,Paramilitaries,35,1,NA,1
2005,FARC,14,NA,3,30
2005,Paramilitaries,26,1,NA,NA
2006,FARC,6,4,3,33
2006,Paramilitaries,3,1,NA,NA
2007,FARC,4,4,1,23
2007,Paramilitaries,3,NA,NA,NA
2008,FARC,4,4,NA,89
2008,Paramilitaries,3,NA,NA,6
2009,FARC,6,2,NA,104
2009,Paramilitaries,5,NA,NA,3
2010,Paramilitaries,9,NA,NA,NA
2011,FARC,2,7,1,83
2011,Paramilitaries,5,NA,NA,NA
2012,FARC,7,20,6,85
2012,Paramilitaries,4,NA,NA,1
2013,FARC,2,3,2,105
2013,Paramilitaries,7,NA,NA,1
2014,FARC,1,3,NA,163
2014,Paramilitaries,1,NA,NA,NA
2015,Paramilitaries,1,NA,NA,NA
2016,Paramilitaries,1,NA,NA,NA
2010,FARC,NA,3,1,120
2015,FARC,NA,5,NA,78
1973,FARC,NA,NA,2,NA
1974,FARC,NA,NA,1,NA
1989,Cali Cartel,NA,NA,NA,1
1990,Medellín Cartel,NA,NA,NA,134
1991,Cali Cartel,NA,NA,NA,1
1991,Medellín Cartel,NA,NA,NA,13
1992,Medellín Cartel,NA,NA,NA,78
1996,Medellín Cartel,NA,NA,NA,1
1999,Medellín Cartel,NA,NA,NA,3
2016,FARC,NA,NA,NA,10
2017,Paramilitaries,NA,NA,NA,3
2018,Paramilitaries,NA,NA,NA,1
